ENT,CVE_MUN,MUN,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,LUG_NAC,LUGAR_EST,AÑO
Oaxaca,20173,San Juan Atepec,1848,19.95,55.11,22.79,10.23,7.67,61.38,92.97,100,91.84,0.084,Alto,1125,423,1990
Oaxaca,20541,Tanetze de Zaragoza,1837,12.9,54.56,10.56,1.85,2.85,66.53,74.4,100,92.17,-0.185,Medio,1345,467,1990
Oaxaca,20146,San Francisco Logueche,1835,58.13,89.42,91.98,76.64,99.83,86.89,99.66,100,61.7,2.113,Muy alto,28,13,1990
Oaxaca,20148,San Francisco Ozolotepec,1822,54.89,98.55,39.3,5.71,10.65,86.31,93.35,100,92.31,1.266,Muy alto,284,143,1990
Oaxaca,20069, La Pe                                            ,1812,37.29,73.45,72.94,19.87,98.39,79.06,83.39,100,92.69,1.425,Muy alto,211,101,1990
Oaxaca,20425,Santa MarÌa P·palo,1801,28.41,89.53,9.59,38.18,27.03,75.2,97.27,100,96.65,0.925,Alto,464,219,1990
Oaxaca,20195,San Juan Diuxi,1790,44.97,83.44,85.47,47.43,68.83,70.69,85.99,100,95.61,1.631,Muy alto,139,62,1990
Oaxaca,20033,Guadalupe Etla,1772,8.11,31.82,15.81,5.64,15.87,61.99,22.76,100,75.18,-0.865,Bajo,1890,553,1990
Oaxaca,20487,Santiago Tenango,1767,9.05,46.81,74.99,19.52,80.94,75.22,61.74,100,86.27,0.55,Alto,724,310,1990
Oaxaca,20523,Santo Domingo Yanhuitl·n,1760,13.39,53.24,23.64,11.56,30.54,57.42,35.01,100,86.58,-0.309,Medio,1474,492,1990
Oaxaca,20163, San JerÛnimo TecÛatl                             ,1759,49.69,78.67,35.09,55.63,22.26,69.77,67.12,100,88.78,0.952,Alto,449,215,1990
Oaxaca,20346,San Sebasti·n Nicananduta,1751,43.57,67.88,31.98,2.06,3.03,65.96,65.37,100,97.34,0.394,Alto,854,352,1990
Oaxaca,20236,San Marcial Ozolotepec,1748,52.05,84.14,67.49,74.84,34.45,87.17,95.59,100,96.39,1.84,Muy alto,72,31,1990
Oaxaca,20380,Santa Cruz Papalutla,1735,21.58,62.69,31.84,7.61,18.57,74.92,67.95,100,91.21,0.278,Alto,959,382,1990
Oaxaca,20315,San Pedro M·rtir,1727,24.88,67.44,24.15,5.1,94.04,68.04,87.32,100,93.12,0.737,Alto,587,266,1990
Oaxaca,20255,San Mateo Sindihui,1722,48,78.69,65.51,3.66,41.79,87.03,95.06,100,91.64,1.314,Muy alto,260,130,1990
Oaxaca,20544,Teococuilco de Marcos PÈrez,1716,14.33,54.01,10.12,0.93,0.23,66.95,88.68,100,86.1,-0.171,Medio,1329,464,1990
Oaxaca,20400,Santa MarÌa Camotl·n,1710,27.62,60.78,70.24,6.2,12.42,65.61,30.35,100,88.1,0.154,Alto,1070,407,1990
Oaxaca,20558,Valerio Trujano,1710,18.03,52.07,53.43,8.39,20.8,66.67,43.68,100,90.44,0.036,Medio,1161,433,1990
Oaxaca,20240,San MartÌn Itunyoso,1709,53.92,74.74,98.27,47.59,100,79.89,78.91,100,96.99,1.958,Muy alto,50,21,1990
Oaxaca,20365,Santa Catarina Lachatao,1702,9.39,34.72,8.21,29.67,25.44,65.71,69.94,100,92.17,-0.192,Medio,1354,468,1990
Oaxaca,20504,Nuevo Zoqui·pam,1700,8.1,58.57,22.82,4.24,2.06,80.63,86.88,100,88.81,0.089,Alto,1120,422,1990
Oaxaca,20431,Santa MarÌa Tecomavaca,1698,9.92,39.17,38.28,8.19,14.4,67.28,28.26,100,79.15,-0.498,Medio,1614,514,1990
Oaxaca,20301,San Pedro ApÛstol,1694,26.38,63.92,19.36,4.37,96.4,49.14,65.82,100,87.68,0.297,Alto,944,377,1990
Oaxaca,20167,San JosÈ del PeÒasco,1691,21.74,75.84,15.32,54.82,40.15,83.07,82.26,100,90.19,0.855,Alto,502,235,1990
Oaxaca,20353,Santa Ana,1682,28.09,74.29,68.73,14.68,72.71,85.25,61.69,100,89.89,1.068,Alto,375,182,1990
Oaxaca,20323,San Pedro Ocotepec,1681,43.09,72.81,61.61,48.66,26.27,73.65,84.79,100,93.41,1.159,Muy alto,333,164,1990
Oaxaca,20563,Yogana,1677,54.66,75.16,88.05,14.91,54.75,67.52,77.14,100,90.19,1.268,Muy alto,282,141,1990
Oaxaca,20533,Santo Tom·s Tamazulapan,1674,25.47,65.63,45.28,24.07,38.51,68.77,47.25,100,90.09,0.42,Alto,830,345,1990
Oaxaca,20175,San Juan Bautista Atatlahuca,1666,30.42,68.29,54.08,19.09,34.87,77.78,88.36,100,93.85,0.886,Alto,487,228,1990
Oaxaca,20369,Santa Catarina QuianÈ,1660,24.31,62.18,18.01,5.3,51.57,73.11,20.24,100,86.58,0.03,Medio,1167,434,1990
Oaxaca,20222,San Juan YaeÈ,1649,20.06,63.56,59.18,4.11,23.06,61.26,90.09,100,97.03,0.464,Alto,790,332,1990
Oaxaca,20352,San SimÛn Zahuatl·n,1646,77.51,87.03,99.64,51.15,100,100,79.1,100,96.57,2.588,Muy alto,5,2,1990
Oaxaca,20473,Santiago Laxopa,1643,22.91,61.16,64.76,4.63,17.89,57.11,87.39,100,96.09,0.407,Alto,842,350,1990
Oaxaca,20548,Tepelmeme Villa de Morelos,1642,21.22,71.24,54.45,31.55,55.79,66.85,50.24,100,91.7,0.627,Alto,664,286,1990
Oaxaca,20142,San Francisco Huehuetl·n,1635,52.11,86.34,21.14,34.42,17.58,68.5,83.22,100,95.07,0.968,Alto,441,212,1990
Oaxaca,20499,Santiago YolomÈcatl,1623,16.73,37.75,24.45,5.34,14.39,53.78,32.81,100,83.52,-0.625,Bajo,1688,521,1990
Oaxaca,20245,San MartÌn Zacatepec,1622,34.48,57.96,65.72,8.51,62.12,75.44,30.39,100,63.86,0.307,Alto,934,374,1990
Oaxaca,20317,San Pedro M·rtir Yucuxaco,1620,19.12,52,48.77,64.81,72.72,67.31,73.33,100,92.55,0.805,Alto,533,247,1990
Oaxaca,20034,Guadalupe de RamÌrez,1615,27.93,65.2,70.4,0.62,75.78,68.3,23.47,100,91.22,0.518,Alto,757,320,1990
Oaxaca,20451,Santiago Apoala,1613,48.35,75.83,63.98,79.48,78.18,71.62,74.95,100,93.66,1.62,Muy alto,144,66,1990
Oaxaca,20243,San MartÌn Tilcajete,1600,12.38,48.2,46.96,1.75,99.75,74.28,35.88,100,78,0.183,Alto,1050,402,1990
